# https://twiki.cern.ch/twiki/bin/view/LHCPhysics/SUSYCrossSections13TeVn2x1hino
# mχ̃ [GeV]	xsec [fb]	-scale unc [%]	-pdf unc [%]	+scale unc [%]	+pdf unc [%]
80	5077.7	-2.8	-3.5	0.5	3.3
100	2026.8	-1.1	-3.5	0.3	3.4
125	870.57	-0.5	-3.6	0.1	3.7
150	437.89	-0.5	-3.8	0	3.9
175	243.91	-0.6	-4	0.3	4.2
200	146.02	-0.7	-4.3	0.4	4.5
225	92.26	-0.7	-4.5	0.4	4.8
250	60.75	-0.7	-4.8	0.5	5.1
275	41.34	-0.6	-5	0.7	5.4
300	28.92	-0.5	-5.3	0.8	5.8
325	20.71	-0.5	-5.5	1	6.1
350	15.12	-0.5	-5.7	1.1	6.5
375	11.23	-0.6	-6.1	1.2	6.8
400	8.47	-0.6	-6.3	1.2	7.2
425	6.46	-0.6	-6.5	1.2	7.4
450	4.99	-0.5	-6.6	1.3	8
475	3.89	-0.5	-7	1.3	8.2
500	3.06	-0.7	-7.3	1.1	8.5
525	2.43	-0.7	-7.5	1.3	9
550	1.94	-0.7	-7.8	1.3	9.2
575	1.56	-0.7	-8.4	1.2	9.2
600	1.27	-0.6	-8.3	1.2	9.7
625	1.03	-0.6	-8.5	1.2	10.2
650	0.84	-0.9	-9	1.1	10.5
675	0.7	-1.3	-9.4	1	10.4
700	0.57	-1.2	-9.2	1.1	11.2
725	0.48	-1.2	-9.5	0.9	11.4
750	0.4	-0.9	-10	0.7	11.6
775	0.33	-0.9	-10.6	0.5	11.5
800	0.28	-1	-10.9	0.6	11.8
825	0.23	-1	-11	1	12
850	0.2	-0.9	-11.6	0.7	12.2
875	0.17	-0.8	-12.1	1.1	12.3
900	0.14	-1.3	-12.4	0.7	12.6
925	0.12	-1.2	-12.3	0.9	13.4
950	0.1	-0.9	-11.7	1.4	15.4
975	0.09	-1.4	-12.9	1	14.1
1000	0.07	-1.1	-13.5	0.7	14
1025	0.06	-1.1	-13.7	0.7	14.3
1050	0.06	-1.1	-14	0.7	14
1075	0.05	-1.4	-11.8	1.7	17.7
1100	0.04	-1.4	-14.5	0.9	14.8
1125	0.04	-0.9	-14.8	1	15.6
1150	0.03	-1.2	-15.5	1	15.4
1175	0.03	-1.1	-15.8	1.1	16.4
1200	0.02	-1	-16.5	1.1	16.5
1225	0.02	-1.2	-16.2	1	17.3
1250	0.02	-1.3	-16.7	0.7	17.7
1275	0.02	-0.8	-16.9	1	18.4
1300	0.01	-0.7	-16.5	1.2	20
1325	0.01	-0.7	-17	1.1	20.2
