# https://twiki.cern.ch/twiki/bin/view/LHCPhysics/SUSYCrossSections13TeVn2x1hino
# mχ̃ [GeV]	xsec [fb]	-scale unc [%]	-pdf unc [%]	+scale unc [%]	+pdf unc [%]
80	7928.6	-3.0	-3.1	0.7	3.1
100	3293.9	-1.1	-3.2	0.6	3.1
125	1477.7	-0.6	-3.3	0.4	3.2
150	772.06	-0.5	-3.5	0.2	3.3
175	445.01	-0.6	-3.6	0.2	3.5
200	274.96	-0.6	-3.8	0.4	3.6
225	178.85	-0.6	-4	0.6	3.8
250	121.11	-0.6	-4.2	0.7	3.9
275	84.67	-0.5	-4.4	0.8	4
300	60.76	-0.4	-4.6	0.9	4.2
325	44.56	-0.4	-4.8	0.9	4.3
350	33.3	-0.3	-5	1	4.4
375	25.28	-0.3	-5.2	1.1	4.6
400	19.46	-0.3	-5.4	1.1	4.7
425	15.16	-0.4	-5.6	1.2	4.8
450	11.93	-0.3	-5.7	1.3	5
475	9.48	-0.3	-6	1.3	5.2
500	7.6	-0.5	-6.2	1.3	5.4
525	6.14	-0.5	-6.4	1.2	5.5
550	4.99	-0.6	-6.6	1.3	5.6
575	4.08	-0.5	-6.8	1.1	5.7
600	3.35	-0.5	-6.9	1.1	5.8
625	2.77	-0.6	-7.3	1.2	5.9
650	2.3	-0.5	-7.1	1.3	6.2
675	1.92	-0.6	-7.4	1.4	6.4
700	1.6	-0.6	-7.3	1.3	6.8
725	1.35	-0.7	-7.9	1.1	6.6
750	1.14	-0.8	-7.8	1	7
775	0.96	-0.8	-8	1.1	7.1
800	0.81	-0.8	-8.1	1.1	7.2
825	0.69	-0.8	-8.5	0.9	7.3
850	0.59	-0.9	-8.8	0.9	7.3
875	0.5	-0.9	-9.5	0.8	7.3
900	0.43	-0.8	-8.4	1.2	8.2
925	0.37	-0.8	-8.8	1.3	8
950	0.32	-0.7	-9.8	0.7	7.5
975	0.27	-0.9	-10.5	0.3	7.2
1000	0.23	-1	-9.1	0.9	9.1
1025	0.2	-1	-9.3	0.8	9.3
1050	0.17	-1	-8.7	1.4	9.9
1075	0.15	-0.8	-10.6	0.8	8.7
1100	0.13	-1	-10.8	0.9	9
1125	0.11	-1.1	-10.6	0.8	9.6
1150	0.1	-0.9	-10.4	1.1	10
1175	0.08	-1	-8.6	1.7	12.8
1200	0.07	-1	-11	1	10.7
1225	0.06	-1	-11	1	10.9
1250	0.06	-1.1	-11.2	1	11.2
1275	0.05	-1.6	-11.8	0.6	11.2
1300	0.04	-1.2	-12.1	1	11.6
1325	0.04	-1.2	-12.1	0.9	12
1350	0.03	-1.2	-12.2	1	12.5
1375	0.03	-1.4	-12.5	1	12
1400	0.02	-1.3	-12.3	1.2	12.6
1425	0.02	-1.4	-13.2	1.4	13.2
1450	0.02	-1.4	-13.3	1.3	13.6
1475	0.02	-1.5	-14.3	1.1	13.5
1500	0.01	-0.4	-13.1	1.4	14.5
